chain,ip,manual,old_city,old_country,new_city,new_country,confidence,distance_km,completed,globalping_id,reasons
everscale,198.244.200.13,False,London,United Kingdom,London,United Kingdom,approximate,0.0,True,,
everscale,198.244.200.18,False,London,United Kingdom,London,United Kingdom,approximate,0.0,True,,
ton,2.59.171.136,False,Naaldwijk,The Netherlands,Naaldwijk,The Netherlands,approximate,0.0,True,,
ton,3.219.120.193,False,Ashburn,United States,Ashburn,United States,approximate,0.0,True,,
ton,5.9.83.110,False,Falkenstein,Germany,Falkenstein,Germany,operator_city,0.0,True,,
ton,5.9.136.111,False,Falkenstein,Germany,Falkenstein,Germany,operator_city,0.0,True,,
ton,5.189.141.228,False,Lauterbourg,France,Lauterbourg,France,disputed,0.0,False,2TnI4HF8XEYkShcnj000216iE,country disagreement: ip-api / dbip
ton,5.196.193.83,False,Wattrelos,France,Wattrelos,France,approximate,0.0,True,,
ton,5.196.193.127,False,Wattrelos,France,Wattrelos,France,approximate,0.0,True,,
ton,13.217.36.154,False,Ashburn,United States,Ashburn,United States,approximate,0.0,True,,
ton,15.235.54.121,False,Montreal,Canada,Montreal,Canada,approximate,0.0,True,,
ton,15.235.83.168,False,Montreal,Canada,Montreal,Canada,approximate,0.0,True,,
ton,15.235.85.142,False,Montreal,Canada,Montreal,Canada,approximate,0.0,True,,
ton,15.235.114.213,False,Montreal,Canada,Montreal,Canada,approximate,0.0,True,,
ton,23.109.63.180,False,Haarlem,The Netherlands,Haarlem,The Netherlands,approximate,0.0,True,,
ton,23.109.63.188,False,Haarlem,The Netherlands,Haarlem,The Netherlands,approximate,0.0,True,,
ton,23.109.63.196,False,Haarlem,The Netherlands,Haarlem,The Netherlands,approximate,0.0,True,,
ton,23.109.63.236,False,Haarlem,The Netherlands,Haarlem,The Netherlands,approximate,0.0,True,,
ton,35.206.181.90,False,Brussels,Belgium,Brussels,Belgium,approximate,0.0,True,,
ton,37.48.125.242,False,Amsterdam,The Netherlands,Amsterdam,The Netherlands,approximate,0.0,True,,
ton,37.187.82.103,False,Wattrelos,France,Wattrelos,France,approximate,0.0,True,,
ton,43.153.37.128,False,Santa Clara,United States,Santa Clara,United States,approximate,0.0,True,,
ton,45.32.183.230,False,Canary Wharf,United Kingdom,Canary Wharf,United Kingdom,approximate,0.0,True,,
ton,45.32.236.110,False,Amsterdam,The Netherlands,Amsterdam,The Netherlands,approximate,0.0,True,,
ton,45.63.1.62,False,Piscataway,United States,Piscataway,United States,approximate,0.0,True,,
ton,45.76.36.171,False,Amsterdam,The Netherlands,Amsterdam,The Netherlands,approximate,0.0,True,,
ton,45.76.148.129,False,Singapore,Singapore,Singapore,Singapore,approximate,0.0,True,,
ton,45.250.254.61,False,Ashburn,United States,Ashburn,United States,operator_city,0.0,True,,
ton,46.62.189.248,False,Helsinki,Finland,Helsinki,Finland,operator_city,0.0,True,,
ton,47.238.111.0,False,Hong Kong,Hong Kong,Hong Kong,Hong Kong,approximate,0.0,True,,
ton,47.243.206.252,False,Hong Kong,Hong Kong,Hong Kong,Hong Kong,approximate,0.0,True,,
ton,49.12.149.201,False,Falkenstein,Germany,Falkenstein,Germany,operator_city,0.0,True,,
ton,49.12.150.8,False,Falkenstein,Germany,Falkenstein,Germany,operator_city,0.0,True,,
ton,49.12.150.137,False,Falkenstein,Germany,Falkenstein,Germany,operator_city,0.0,True,,
ton,51.68.25.14,False,Gravelines,France,Gravelines,France,approximate,0.0,True,,
ton,51.68.54.30,False,Gravelines,France,Gravelines,France,approximate,0.0,True,,
ton,51.77.56.35,False,Warsaw,Poland,Warsaw,Poland,approximate,0.0,True,,
ton,51.77.165.63,False,Gravelines,France,Gravelines,France,approximate,0.0,True,,
ton,51.77.165.111,False,Gravelines,France,Gravelines,France,approximate,0.0,True,,
ton,51.91.50.48,False,Gravelines,France,Gravelines,France,approximate,0.0,True,,
ton,51.91.196.254,False,Gravelines,France,Gravelines,France,approximate,0.0,True,,
ton,51.158.248.92,False,Haarlem,The Netherlands,Haarlem,The Netherlands,approximate,0.0,True,,
ton,51.222.42.108,False,Beauharnois,Canada,Beauharnois,Canada,approximate,0.0,True,,
ton,54.86.186.112,False,Ashburn,United States,Ashburn,United States,approximate,0.0,True,,
ton,57.128.141.93,False,Erith,United Kingdom,Erith,United Kingdom,approximate,0.0,True,,
ton,57.128.187.19,False,Erith,United Kingdom,Erith,United Kingdom,approximate,0.0,True,,
ton,57.128.187.21,False,Erith,United Kingdom,Erith,United Kingdom,approximate,0.0,True,,
ton,57.129.146.62,False,Bexley,United Kingdom,Bexley,United Kingdom,approximate,0.0,True,,
ton,57.129.146.66,False,Bexley,United Kingdom,Bexley,United Kingdom,approximate,0.0,True,,
ton,57.129.147.75,False,Bexley,United Kingdom,London,United Kingdom,measured_metro,17.592,True,20xxo1LAujTMlhkoA000216lD,"coordinates differ by over 100 km: ip-api / dbip; Globalping: >=2 probe ASNs, >=3 replies each, <=3ms; approximate metro"
ton,57.129.147.91,False,Bexley,United Kingdom,London,United Kingdom,measured_metro,17.592,True,21PN1U7G6p9UbRPRQ000216lD,"coordinates differ by over 100 km: ip-api / dbip; Globalping: >=2 probe ASNs, >=3 replies each, <=3ms; approximate metro"
ton,64.34.84.79,False,Ashburn,United States,Ashburn,United States,approximate,0.0,True,,
ton,64.34.86.91,False,City of London,United Kingdom,City of London,United Kingdom,approximate,0.0,True,,
ton,64.34.86.113,False,City of London,United Kingdom,City of London,United Kingdom,approximate,0.0,True,,
ton,64.34.88.165,False,New York,United States,Los Angeles,United States,measured_metro,3935.486,True,2p6rkgEShNRwhg39X000216iE,"coordinates differ by over 100 km: ip-api / dbip; Globalping: >=2 probe ASNs, >=3 replies each, <=3ms; approximate metro"
ton,64.120.114.237,False,Wan Chai,Hong Kong,Wan Chai,Hong Kong,approximate,0.0,True,,
ton,64.130.33.174,False,Bluffdale,United States,Bluffdale,United States,approximate,0.0,True,,
